City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,yondo,7.0062,-73.9097,22.71,99,100,0.13,CO,2024-01-03
111,jatiroto,-7.8833,111.1167,27.59,80,100,0.78,ID,2024-01-03
112,erechim,-27.6342,-52.2739,15.25,98,15,1.3,BR,2024-01-03
113,yellowknife,62.456,-114.3525,-24.21,86,74,3.58,CA,2024-01-03
114,kruisfontein,-34.0033,24.7314,21.05,78,85,5.29,ZA,2024-01-03
115,pacific grove,36.6177,-121.9166,11.35,85,84,2.68,US,2024-01-03
116,north weeki wachee,28.5501,-82.5589,10.03,92,100,3.01,US,2024-01-03
117,lepsy,46.235,78.9456,0.33,60,42,1.46,KZ,2024-01-03
118,uturoa,-16.7333,-151.4333,27.08,79,92,9.85,PF,2024-01-03
119,vila franca do campo,37.7167,-25.4333,16.23,76,6,2.22,PT,2024-01-03
120,isafjordur,66.0755,-23.124,3.02,81,75,1.54,IS,2024-01-03
121,ilulissat,69.2167,-51.1,-6.99,49,100,6.69,GL,2024-01-03
122,merizo village,13.2658,144.6691,28.1,90,84,5.45,GU,2024-01-03
123,kodiak,57.79,-152.4072,2.55,98,100,14.98,US,2024-01-03
124,gadzhiyevo,69.2551,33.3362,-16.29,75,100,10.69,RU,2024-01-03
125,margaret river,-33.95,115.0667,23.08,53,0,8.2,AU,2024-01-03
126,mariana,-20.3778,-43.4161,20.34,100,100,1.07,BR,2024-01-03
127,pindushi,62.9152,34.58,-31.44,100,38,0.89,RU,2024-01-03
128,howrah,22.5892,88.3103,24.0,53,0,4.12,IN,2024-01-03
129,whitehorse,60.7161,-135.0538,-12.72,84,100,2.06,CA,2024-01-03
130,georgetown,5.4112,100.3354,30.97,70,20,4.63,MY,2024-01-03
131,nuuk,64.1835,-51.7216,0.34,43,75,1.03,GL,2024-01-03
132,nabire,-3.3667,135.4833,26.63,85,98,1.06,ID,2024-01-03
133,nemuro,43.3236,145.575,-1.82,62,73,2.45,JP,2024-01-03
134,kyzyl-suu,42.3414,78.0056,-0.48,74,100,0.63,KG,2024-01-03
135,new norfolk,-42.7826,147.0587,16.51,98,100,1.36,AU,2024-01-03
136,hilo,19.7297,-155.09,21.45,91,41,2.24,US,2024-01-03
137,javanrud,34.7961,46.5172,8.0,33,91,2.43,IR,2024-01-03
138,mulayjah,27.271,48.4242,21.79,52,57,2.84,SA,2024-01-03
139,colonia,50.9333,6.95,10.7,80,75,7.2,DE,2024-01-03
140,la ronge,55.1001,-105.2842,-13.88,92,100,2.57,CA,2024-01-03
141,villa la angostura,-40.7617,-71.6463,9.23,67,100,1.06,AR,2024-01-03
142,port alfred,-33.5906,26.891,23.43,81,85,0.89,ZA,2024-01-03
143,al jawf,29.5,38.75,14.33,57,0,2.79,SA,2024-01-03
144,huaraz,-9.5333,-77.5333,11.64,91,99,1.15,PE,2024-01-03
145,ghanzi,-21.5667,21.7833,31.3,34,8,4.93,BW,2024-01-03
146,kapit,2.0167,112.9333,27.64,93,99,1.21,MY,2024-01-03
147,rohnert park,38.3396,-122.7011,9.4,87,100,0.45,US,2024-01-03
148,ghadamis,30.1337,9.5007,13.49,39,0,1.33,LY,2024-01-03
149,labytnangi,66.6572,66.4183,-21.03,89,66,4.65,RU,2024-01-03
150,bredasdorp,-34.5322,20.0403,21.84,74,100,6.8,ZA,2024-01-03
151,annau,37.8876,58.516,15.96,28,98,2.23,TM,2024-01-03
152,villa rica,33.7321,-84.9191,0.78,75,97,1.03,US,2024-01-03
153,cestos city,5.46,-9.5828,27.54,78,36,2.52,LR,2024-01-03
154,terra roxa,-23.8557,-50.0314,17.45,91,100,1.75,BR,2024-01-03
155,montepuez,-13.1256,38.9997,27.57,71,87,0.96,MZ,2024-01-03
156,kourou,5.1552,-52.6478,22.03,82,33,3.19,GF,2024-01-03
157,punta arenas,-53.15,-70.9167,11.06,58,0,2.57,CL,2024-01-03
158,codrington,-38.2667,141.9667,17.63,92,98,7.07,AU,2024-01-03
159,naze,28.3667,129.4833,14.15,80,100,8.78,JP,2024-01-03
160,oblivskaya,48.5362,42.5014,1.07,73,91,8.63,RU,2024-01-03
161,hammerfest,70.6634,23.6821,-1.75,80,75,3.6,NO,2024-01-03
162,kismayo,-0.3582,42.5454,30.14,63,22,7.57,SO,2024-01-03
163,constantia,44.1833,28.65,6.5,78,100,4.65,RO,2024-01-03
164,college,64.8569,-147.8028,-18.64,82,5,2.29,US,2024-01-03
165,valdivia,-39.8142,-73.2459,12.2,92,100,0.98,CL,2024-01-03
166,canutama,-6.5339,-64.3831,25.37,84,98,1.24,BR,2024-01-03
167,teays valley,38.4501,-81.9293,-2.77,95,99,1.64,US,2024-01-03
168,bor,56.3567,44.0669,-25.6,94,54,3.96,RU,2024-01-03
169,lorengau,-2.0226,147.2712,27.98,79,98,1.78,PG,2024-01-03
170,tangalle,6.024,80.7911,32.09,81,46,2.15,LK,2024-01-03
171,geraldton,-28.7667,114.6,36.23,14,0,8.23,AU,2024-01-03
172,prado,-17.3411,-39.2208,24.74,90,100,4.0,BR,2024-01-03
173,kittila,67.6647,24.8936,-26.33,76,0,2.06,FI,2024-01-03
174,souillac,-20.5167,57.5167,30.99,64,70,4.58,MU,2024-01-03
175,arenapolis,-14.4503,-56.8461,23.04,96,100,0.53,BR,2024-01-03
176,kuna,43.4918,-116.4201,0.31,97,100,0.89,US,2024-01-03
177,arraial do cabo,-22.9661,-42.0278,23.92,94,75,2.57,BR,2024-01-03
178,salalah,17.0151,54.0924,28.13,40,43,4.88,OM,2024-01-03
179,tete,-16.1564,33.5867,29.87,58,88,2.44,MZ,2024-01-03
180,lebu,-37.6167,-73.65,13.02,95,19,6.56,CL,2024-01-03
181,blackmans bay,-43.0167,147.3167,15.85,86,100,0.45,AU,2024-01-03
182,dumai,1.6833,101.45,28.37,84,100,1.17,ID,2024-01-03
183,butterworth,5.3991,100.3638,31.02,70,20,4.63,MY,2024-01-03
184,sterling,39.0062,-77.4286,2.31,76,100,2.06,US,2024-01-03
185,la'ie,21.6477,-157.9253,23.67,75,23,1.79,US,2024-01-03
186,enewetak,11.3474,162.3373,27.37,75,100,8.39,MH,2024-01-03
187,bahia de kino,28.8333,-111.9333,15.38,70,1,4.96,MX,2024-01-03
188,steamboat springs,40.485,-106.8317,-1.28,82,0,2.06,US,2024-01-03
189,rudnichnyy,59.617,52.4703,-26.16,98,38,2.02,RU,2024-01-03
190,flin flon,54.7682,-101.865,-18.65,96,92,1.15,CA,2024-01-03
191,bikenibeu village,1.3673,173.1241,28.98,84,75,4.12,KI,2024-01-03
192,remire-montjoly,4.9167,-52.2667,22.02,100,40,0.51,GF,2024-01-03
193,puerto baquerizo moreno,-0.9,-89.6,24.48,85,87,4.92,EC,2024-01-03
194,daru,-9.0763,143.2092,28.35,81,42,3.73,PG,2024-01-03
195,tvoroyri,61.5556,-6.8111,3.92,95,100,15.63,FO,2024-01-03
196,catumbela,-12.4314,13.5472,27.84,66,100,5.0,AO,2024-01-03
197,piacabucu,-10.4056,-36.4344,25.57,87,53,4.85,BR,2024-01-03
198,luena,-11.7833,19.9167,18.51,93,98,1.41,AO,2024-01-03
199,lata,40.1629,-8.3327,12.82,98,100,1.97,PT,2024-01-03
200,atafu village,-8.5421,-172.5159,29.43,74,89,4.17,TK,2024-01-03
201,suva,-18.1416,178.4415,25.71,94,40,2.06,FJ,2024-01-03
202,longyearbyen,78.2186,15.6401,-11.09,62,75,3.09,SJ,2024-01-03
203,namie,37.4833,141.0,7.62,87,100,1.51,JP,2024-01-03
204,huarmey,-10.0681,-78.1522,21.62,86,100,2.49,PE,2024-01-03
205,kloulklubed,7.0419,134.2556,28.28,73,47,3.3,PW,2024-01-03
206,jamestown,42.097,-79.2353,-0.8,97,100,4.63,US,2024-01-03
207,balasore,21.4942,86.9317,27.33,29,0,4.37,IN,2024-01-03
208,dayr hafir,36.1569,37.7078,14.03,72,99,2.93,SY,2024-01-03
209,demre,36.2537,29.9777,17.26,70,0,1.53,TR,2024-01-03
210,zachary,30.6485,-91.1565,8.93,80,100,2.57,US,2024-01-03
211,dunedin,-45.8742,170.5036,12.67,91,77,1.79,NZ,2024-01-03
212,coahuayana de hidalgo,18.7,-103.6583,21.28,66,99,1.47,MX,2024-01-03
213,castillos,-34.1667,-53.8333,19.05,85,73,4.07,UY,2024-01-03
214,biasca,46.3597,8.9697,9.69,80,13,0.86,CH,2024-01-03
215,touros,-5.1989,-35.4608,26.44,81,29,3.11,BR,2024-01-03
216,prince rupert,54.3161,-130.3201,5.05,93,100,4.12,CA,2024-01-03
217,atbara,17.7022,33.9864,26.06,31,43,4.58,SD,2024-01-03
218,aroma,15.8167,36.1333,27.75,46,3,3.06,SD,2024-01-03
219,teni,10.0,77.4833,27.69,63,76,1.49,IN,2024-01-03
220,chas,23.6333,86.1667,25.68,35,0,3.28,IN,2024-01-03
221,scottburgh,-30.2867,30.7532,23.98,72,44,5.08,ZA,2024-01-03
222,muang phonsavan,19.45,103.2167,22.27,50,71,2.16,LA,2024-01-03
223,moree,-29.4667,149.85,32.22,30,86,1.92,AU,2024-01-03
224,kingston,17.997,-76.7936,22.91,97,15,1.35,JM,2024-01-03
225,hithadhoo,-0.6,73.0833,28.49,73,21,4.42,MV,2024-01-03
226,santiago de cao,-7.9589,-79.2392,21.07,88,100,3.09,PE,2024-01-03
227,chonchi,-42.6128,-73.8092,12.56,99,96,1.14,CL,2024-01-03
228,saint-pierre,-21.3393,55.4781,30.82,70,0,3.09,RE,2024-01-03
229,crane,31.3974,-102.3501,6.23,74,6,2.4,US,2024-01-03
230,mil'kovo,55.6078,37.7956,-20.32,84,87,3.7,RU,2024-01-03
231,smithers,54.7804,-127.1743,-4.82,100,100,0.0,CA,2024-01-03
232,minas de marcona,-15.2119,-75.1103,16.18,87,88,3.86,PE,2024-01-03
233,yakeshi,49.2833,120.7333,-17.48,95,100,1.81,CN,2024-01-03
234,tolanaro,-25.0319,46.9987,24.3,86,98,4.74,MG,2024-01-03
235,macae,-22.3708,-41.7869,22.56,95,100,2.45,BR,2024-01-03
236,posse,-14.0931,-46.3694,19.63,94,100,3.77,BR,2024-01-03
237,henderson,36.0397,-114.9819,10.73,44,0,4.63,US,2024-01-03
238,birobidzhan,48.8,132.95,-23.43,99,95,0.76,RU,2024-01-03
239,skelleftea,64.7507,20.9528,-26.67,91,100,1.54,SE,2024-01-03
240,urengoy,65.9667,78.3667,-37.18,100,85,2.08,RU,2024-01-03
241,joshimath,30.5667,79.5667,13.28,17,50,3.36,IN,2024-01-03
242,villa huidobro,-34.8383,-64.5869,17.68,65,69,2.7,AR,2024-01-03
243,alofi,-19.0595,-169.9187,26.21,78,10,7.34,NU,2024-01-03
244,galliano,29.4422,-90.2992,11.0,86,100,4.18,US,2024-01-03
245,razole,16.4833,81.8333,28.02,46,21,4.26,IN,2024-01-03
246,udachny,66.4167,112.4,-44.34,100,93,0.26,RU,2024-01-03
247,bogande,12.9714,-0.1436,26.18,10,5,5.0,BF,2024-01-03
248,cabo san lucas,22.8909,-109.9124,19.31,77,5,1.67,MX,2024-01-03
249,gambela,8.25,34.5833,36.8,20,33,1.1,ET,2024-01-03
250,noshiro,40.2039,140.0242,3.96,80,100,2.32,JP,2024-01-03
251,mazagao,-0.115,-51.2894,28.03,98,97,1.54,BR,2024-01-03
252,happy valley-goose bay,53.3168,-60.3315,-8.8,94,100,1.86,CA,2024-01-03
253,tidjikja,18.5564,-11.4271,20.7,13,97,6.06,MR,2024-01-03
254,qaqortoq,60.7167,-46.0333,-6.79,73,99,3.38,GL,2024-01-03
255,bay harbor,30.1471,-85.6146,5.97,76,40,3.09,US,2024-01-03
256,amarante do maranhao,-5.5667,-46.7422,22.03,100,100,0.58,BR,2024-01-03
257,parshadepur,26.0833,81.5167,23.25,42,28,1.04,IN,2024-01-03
258,st. john's,47.5649,-52.7093,-0.12,84,58,2.24,CA,2024-01-03
259,eyl,7.9803,49.8164,28.9,51,44,9.42,SO,2024-01-03
260,loshnitsa,54.2789,28.7639,-11.36,58,91,5.54,BY,2024-01-03
261,marrakesh,31.6315,-8.0083,11.04,54,0,1.54,MA,2024-01-03
262,west bay,19.3667,-81.4167,23.89,72,87,0.89,KY,2024-01-03
